iter	Passed	Remaining
750	10478	3474
751	10494	3460
752	10509	3447
753	10525	3434
754	10541	3420
755	10555	3406
756	10570	3393
757	10584	3379
758	10600	3366
759	10616	3352
760	10632	3339
761	10648	3325
762	10663	3312
763	10678	3298
764	10693	3284
765	10707	3271
766	10722	3257
767	10736	3243
768	10752	3229
769	10768	3216
770	10784	3203
771	10801	3190
772	10818	3176
773	10834	3163
774	10850	3150
775	10866	3136
776	10881	3123
777	10897	3109
778	10912	3095
779	10927	3082
780	10943	3068
781	10958	3054
782	10973	3041
783	10988	3027
784	11003	3013
785	11019	3000
786	11035	2986
787	11050	2973
788	11065	2959
789	11080	2945
790	11095	2931
791	11110	2917
792	11125	2904
793	11140	2890
794	11154	2876
795	11170	2862
796	11185	2848
797	11199	2834
798	11215	2821
799	11229	2807
800	11244	2793
801	11258	2779
802	11273	2765
803	11287	2751
804	11303	2738
805	11318	2724
806	11332	2710
807	11348	2696
808	11362	2682
809	11377	2668
810	11390	2654
811	11404	2640
812	11418	2626
813	11433	2612
814	11446	2598
815	11460	2584
816	11474	2570
817	11489	2556
818	11506	2542
819	11521	2529
820	11535	2515
821	11552	2501
822	11566	2487
823	11581	2473
824	11595	2459
825	11611	2446
826	11625	2431
827	11639	2417
828	11653	2403
829	11668	2389
830	11682	2375
831	11697	2362
832	11712	2348
833	11727	2334
834	11740	2320
835	11755	2306
836	11770	2292
837	11785	2278
838	11799	2264
839	11814	2250
840	11830	2236
841	11845	2222
842	11860	2208
843	11874	2194
844	11887	2180
845	11901	2166
846	11916	2152
847	11932	2138
848	11947	2124
849	11963	2111
850	11979	2097
851	11996	2083
852	12011	2070
853	12026	2056
854	12041	2042
855	12054	2027
856	12066	2013
857	12079	1999
858	12091	1984
859	12103	1970
860	12115	1955
861	12127	1941
862	12142	1927
863	12157	1913
864	12177	1900
865	12195	1887
866	12211	1873
867	12228	1859
868	12246	1846
869	12262	1832
870	12279	1818
871	12296	1805
872	12312	1791
873	12327	1777
874	12343	1763
875	12357	1749
876	12372	1735
877	12388	1721
878	12405	1707
879	12420	1693
880	12436	1679
881	12451	1665
882	12467	1651
883	12484	1638
884	12500	1624
885	12517	1610
886	12532	1596
887	12551	1583
888	12568	1569
889	12584	1555
890	12600	1541
891	12617	1527
892	12632	1513
893	12647	1499
894	12660	1485
895	12673	1471
896	12685	1456
897	12698	1442
898	12711	1428
899	12723	1413
900	12735	1399
901	12747	1385
902	12759	1370
903	12771	1356
904	12785	1342
905	12800	1328
906	12817	1314
907	12832	1300
908	12848	1286
909	12862	1272
910	12877	1258
911	12891	1243
912	12905	1229
913	12921	1215
914	12935	1201
915	12950	1187
916	12964	1173
917	12978	1159
918	12990	1144
919	13003	1130
920	13016	1116
921	13028	1102
922	13039	1087
923	13053	1073
924	13067	1059
925	13081	1045
926	13095	1031
927	13111	1017
928	13125	1003
929	13138	988
930	13158	975
931	13174	961
932	13188	947
933	13203	933
934	13221	919
935	13236	905
936	13247	890
937	13260	876
938	13272	862
939	13283	847
940	13296	833
941	13311	819
942	13327	805
943	13341	791
944	13357	777
945	13372	763
946	13387	749
947	13401	735
948	13417	721
949	13431	706
950	13446	692
951	13459	678
952	13471	664
953	13482	650
954	13494	635
955	13507	621
956	13519	607
957	13531	593
958	13544	579
959	13556	564
960	13567	550
961	13578	536
962	13589	522
963	13601	507
964	13612	493
965	13625	479
966	13640	465
967	13657	451
968	13673	437
969	13688	423
970	13703	409
971	13718	395
972	13733	381
973	13748	366
974	13762	352
975	13777	338
976	13789	324
977	13803	310
978	13817	296
979	13829	282
980	13840	268
981	13853	253
982	13867	239
983	13881	225
984	13896	211
